Longitude,Latitude,Name,Location
-112.422,34.592,Watson Lake Park,Prescott
-109.413,33.79,West Fork,Alpine
-109.359,31.865,West Turkey Creek,Douglas
-109.092,36.215,Wheatfields Lake,Fort Defiance
-112.017,35.119,White Horse Lake,Williams
-111.089,31.395,White Rock,Nogales
-112.477,34.509,White Spar,Prescott
-112.499,33.566,White Tank Mountain,Litchfield Park
-109.721,31.562,Whitewater Draw,Tombstone
-113.871,35.065,Wild Cow Springs,Kingman
-114.888,33.494,Wiley Wells Dispersed  - Mule Mountain,Quartzite
-114.66,35.87,Willow Beach  - Lake Mead National Rec Area,Henderson
-111.087,33.667,Windy Hill,Roosevelt
-114.161,35.436,Windy Point,Kingman
-109.484,33.965,Winn,Greer
-112.545,34.613,Yavapai,Prescott
-114.423,32.728,Yuma VFW,Yuma
-106.345,37.379,Alamosa,La Jara
-106.858,38.654,Almont,Almont
-105.562,38.08,Alvarado,Westcliffe
-107.665,38.019,Amphitheater,Ouray
-106.221,38.583,Angel of Shavano,Poncha Springs
-105.35,40.689,Ansel Watrous,Rustic
-105.76,40.121,Arapaho Bay,Granby
-104.733,38.251,Arkansas Point - Lake Pueblo State Park,Pueblo
-106.032,40.517,Aspen,Gould
-105.843,39.425,Aspen,Jefferson
-106.275,37.073,Aspen Glade,Antonito
-105.819,40.619,Aspen Glen,Fort Collins
-107.78,39.222,Aspen Grove - Vega State Park,Collbran
-105.416,39.864,Aspen Meadow  - Golden Gate Canyon State Park,Golden
-105.594,40.4,Aspenglen - Rocky Mountain National Park,Estes Park
-107.204,39.236,Avalanche,Redstone
-106.351,39.27,Baby Doe,Leadville
-105.177,39.654,Bear Creek Lake Park,Lakewood
-105.143,37.326,Bear Lake,La Veta
-107.07,40.045,Bear Lake,Yampa
-106.676,37.617,Beaver Creek,South Fork
-106.133,40.053,Beaver Creek Unti - Hot Sulphur State Wildlife Area,Parshall
-107.545,38.25,Beaver Lake,Cimarron
-105.617,40.771,Bellaire Lake,Red Feather Lakes
-106.349,39.269,Belle of Colorado,Leadville
-105.724,40.708,Big Bend,Fort Collins
-107.385,38.217,Big Blue,Sapeniro
-107.545,38.258,Big Cimarron,Cimarron
-107.883,39.078,Big Creek,Collbran
-106.609,40.935,Big Creek Lakes,
-108.55,38.745,Big Dominguez,Whitewater
-106.795,37.54,Big Meadows,South Fork
-105.807,40.633,Big South,Fort Collins
-106.581,40.067,Blacktail Creek,Yampa
-106.885,37.145,Blanco River,Pagosa
-106.366,39.472,Blodgett,Vail
-105.139,37.313,Blue Lake,La Veta
-105.362,38.961,Blue Mountain,Florissant
-106.131,39.726,Blue River,Silverthorne
-105.965,40.56,Bockman - State Forest State Park,Walden
-107.262,39.1,Bogan Flats,Redstone
-107.898,39.104,Bonham Lake City Park,
