Longitude,Latitude,Name,Location
-92.68,43.341,Pioneer Co Park,Osage
-95.93,41.833,Pisgah City Park,Pisgah
-90.38,42.21,Pleasant Creek,Dubuque
-91.814,42.119,Pleasant Creek State Rec Area,Palo
-94.198,40.711,Poe Hollow County Park,Mount Ayr
-91.436,40.714,Pollmiller Park,West Point
-95.788,41.071,Pony Creek Co Park,Pacific Juncti
-93.434,42.585,Popejoy Conservation Park,Popejoy
-95.338,41.471,Pottawattamie County Fairgrounds,Avoca
-93.057,42.56,Prairie Bridges Park,Ackley
-93.688,41.749,Prairie Flower - Saylorville Lake,Des Moines
-92.888,40.858,Prairie Ridge - Rathbun Lake,Moravia
-95.212,41.6,Prairie Rose State Park,Harlan
-95.623,43.084,Primghar City Park,Primghar
-91.809,43.299,Pulpit Rock City Campground,Decorah
-92.668,41.198,Quercus Wilderness Area,Oskaloosa
-94.756,42.228,Rainbow Bend Co Park,Lake City
-95.731,42.575,Ranney Knob Area,Washta
-93.28,40.998,Red Haw State Park,Chariton
-93.19,42.254,Reece Park,Union
-95.149,42.438,Reiff Park,Early
-94.628,42.087,Richey Campground,Glidden
-91.502,41.491,River Junction Access,Lone Tree
-96.311,43.213,Rivers Bend,Rock Valley
-92.777,43.436,Riverside Co Park,Stacyville
-94.669,41.877,Riverside Park - Coon Rapids,Coon Rapids
-93.813,42.468,Riverside Park - Webster City,Webster City
-90.185,41.852,Riverview City Park - Clinton,Clinton
-92.902,42.064,Riverview Park - Marshalltown,Marshalltown
-92.664,42.47,Roadman Roadside Park,Dike
-93.042,41.426,Roberts Creek Park,Pella
-92.645,41.507,Robertson Access,New Sharon
-95.736,43.399,Robinson Park,Sibley
-90.328,41.75,Rock Creek County Marina and Campground,Camanche
-92.837,41.761,Rock Creek State Park,Kellogg
-94.634,42.4,Rockwell City RV Park,Rockwell City
-92.083,42.196,Rodgers County Park,Vinton
-92.981,40.849,Rolling Cove - Rathbun Lake,Centerville
-95.327,41.732,Rosman Glendale Farm Rec Area,Harlan
-94.964,40.609,Ross County Park,Braddyville
-91.81,40.914,Round Prairie Park,Fairfield
-92.894,43.127,Rudd Eastside Park,Rudd
-94.985,42.419,Sac City Park,Sac Cityt
-94.497,40.629,Sands Timber Rec Area,Blockton
-91.597,41.814,Sandy Beach - Coralville Lake,Iowa City
-96.118,43.064,Sandy Hollow Park,Sioux Center
-92.161,43.195,Saude Rec Area,Fredericksburg
-91.17,41.499,Saulsbury Bridge,Muscatine
-95.672,41.805,Schaben County Park,Dunlap
-95.289,43.151,Scharnberg Co Park,Everly
-95.411,41.775,Schimerowski Rec Area,Earling
-90.527,41.714,Scott County Park,Eldridge
-91.633,42.599,Scout Park - Lamont,Lamont
-93.12,40.67,Seymour Lake Co Park,Seymour
-90.878,41.446,Shady Creek  - Mississippi River,Muscatine
-92.591,42.723,Shell Rock Rec Area,Shell Rock
-93.044,43.174,Shellrock River Co Preserve,Nora Springs
-90.784,41.78,Sherman Co Park,Calamus
-91.677,40.615,Shimek State Forest,Farmington
-94.397,43.053,Siems County Park,Whittemore
-92.143,42.638,Siggelkov County Park,Dunkerton
-95.326,43.448,Silver Lake City Park - East,Lake Park
-95.35,43.441,Silver Lake City Park - South,Lake Park
-93.42,43.485,Silver Lake Co Park,Northwood
-91.322,42.426,Silver Lake County Park,Delhi
-95.591,42.649,Silver Sioux Recreation Area,Quimby
-91.97,41.25,Skunk River Access,Richland
-93.845,40.653,Slip Bluff County Park,Lamoni
-94.243,43.122,Smith Lake County Park,Algona
-91.111,41.193,Snively Access,Wapello
-96.337,42.284,Snyder Bend County Park,Salix
-94.215,41.079,South - Three Mile Co Rec Area,Afton
-91.672,43.442,South Bear Co Park,Highlandville
-92.987,42.744,South Fork Access  - Dumont Park,Clarksville
-93.994,43.083,South Park - Wesley,Wesley
-90.17,42.063,South Sabula Lakes County Park,Maquoketa
-95.954,42.22,Southwood Conservation Area,Smithland
-92.239,42.909,Split Rock County Park,Fredericksburg
-92.68,42.786,Sportsman Park - Clarksville,Clarksville
-94.21,41.847,Sportsman Park - Dawson,Dawson
-94.291,42.068,Spring Lake County Park,Jefferson
-94.467,41.774,Springbrook State Park,Guthrie Center
-90.436,42.304,Spruce Creek County Park,Bellevue
-91.556,42.02,Squaw Creek County Park,Marion
-94.29,41.95,Squirrel Hollow Co Park,Jefferson
-93.482,41.022,Stephens State Forest,Lucas
-91.437,40.828,Stephenson Park,Lowell
-95.681,42.609,Stieneke Area Park,Quimby
-92.885,42.394,Stoehr Fishing Area,Grundy
-96.47,42.557,Stone State Park,Sioux City
-94.848,42.579,Straight Park,Fonda
-93.931,42.271,Stratford City Park,Stratford
-91.559,41.776,Sugar Bottom - Coralville Lake,Solon
-90.683,41.529,Summit - West Lake County Park,Davenport
